Date,Close,High,Low,Open,Volume
2023-03-16,349.1570129394531,349.5408730371277,340.64543946452875,341.17323245662436,5016700
2023-03-17,345.3377990722656,349.0898054097031,343.9368036601277,348.1014273207195,5189900
2023-03-20,348.4564208984375,348.8882194468039,345.28017578803315,345.90390432527664,3099800
2023-03-21,353.0145263671875,353.52310869176443,350.13575186179156,351.6135309741959,4117600
2023-03-22,347.1610412597656,356.21958813386345,347.04589495546617,352.91859075002725,4094800
2023-03-23,347.986328125,353.4080150612095,345.56813843809215,349.7519732372933,4787200
2023-03-24,350.3055419921875,350.37299703074666,344.6784567899783,346.8560724549892,3740400
2023-03-27,350.8836669921875,353.07089804760074,350.1513652269453,352.3964358893386,4144800
2023-03-28,350.2669372558594,350.92216846294434,348.49402269458966,350.28622692385056,2413700
2023-03-29,355.24847412109375,355.4893597375796,352.93597808382594,354.0054961066316,3636100
2023-03-30,357.3683166503906,357.9368032361018,355.64356722273374,357.6959175944453,3316700
2023-03-31,362.35943603515625,362.61958192508223,358.1005652351755,358.2258304653196,4159800
2023-04-03,363.795166015625,364.1324118291601,361.54047970954525,361.90663062681256,3525300
2023-04-04,361.7427673339844,364.6044898429004,360.4901737988295,364.40215414367975,2713300
2023-04-05,360.865966796875,361.7331786676667,359.29541704674415,361.04904224471,3227700
2023-04-06,362.2438659667969,362.4751067899689,359.1316126649978,360.04698993169984,3076200
2023-04-10,362.63885498046875,362.6677894853536,359.3628162368442,359.93130280487156,2671100
2023-04-11,362.68707275390625,363.9878611418884,361.99332090731485,363.15919921721616,3069000
2023-04-12,361.24176025390625,364.81649507204475,360.67327364762446,364.6045145235171,3624200
2023-04-13,365.9245300292969,366.30997055896125,361.75240388103396,362.2052700389041,2680900
2023-04-14,365.1729736328125,367.4276596219305,362.98574267791645,365.4427643647159,2981700
2023-04-17,366.4159240722656,366.4544740039091,363.9107078051169,365.02842058292117,2721000
2023-04-18,366.6665344238281,367.996228007963,365.41391131479315,367.9191281278745,3019300
2023-04-19,366.647216796875,367.42768394458113,364.8646865243279,364.92249672749233,2671300
2023-04-20,364.5755920410156,366.21362614745533,363.19773324376666,364.0071054618357,2953200
2023-04-21,364.7875671386719,365.27898324427144,363.08210742656877,364.87428243878037,2762300
2023-04-24,365.26934814453125,365.6354990247379,363.47717308455407,364.6816012931362,2310400
2023-04-25,359.4977111816406,363.930012544768,359.42061131516067,363.4289516275986,3795400
2023-04-26,357.89825439453125,361.0201229103518,357.4550330459237,360.0373200751824,3766900
2023-04-27,364.99957275390625,365.3079134454686,360.0469790425026,360.2589595923284,4302400
2023-04-28,368.1214294433594,368.18888448088416,364.2190937720814,364.25764370852215,3386900
2023-05-01,367.8709716796875,369.6535315363674,367.61079633431376,367.81316147071317,3069300
2023-05-02,363.7469787597656,367.21570861889353,361.0105212861271,367.1675432505672,4311600
2023-05-03,361.2128601074219,366.3389138748779,360.94306935150246,364.13239305379483,5513000
2023-05-04,358.5727844238281,360.4709352607388,357.3972611866367,360.2107893248399,4421500
2023-05-05,365.1537170410156,366.23287997948427,361.7427682208678,362.04146405544446,3139400
2023-05-08,365.35601806640625,365.7799790955662,364.10342464705855,365.5776434150523,2957600
2023-05-09,363.7758483886719,364.777911430045,363.57348328946625,363.9396341489996,2271000
2023-05-10,365.3656921386719,366.9458865879189,361.9451279394291,366.41594996155203,3512900
2023-05-11,364.8550109863281,365.0669915150883,362.93757079775867,364.67193555671776,2676600
2023-05-12,364.3636169433594,366.1558214140479,362.1378359591874,366.0016510742586,2531000
2023-05-15,365.6258239746094,365.99197482455776,363.1688023941412,364.9320722075974,3882600
2023-05-16,363.20733642578125,365.4523773845693,363.1687864945841,364.59483989906016,2275300
2023-05-17,367.5433044433594,368.1599563629291,363.52531921395837,365.03808802108176,3222600
2023-05-18,371.1372985839844,371.5130942789366,367.10969793158984,367.3602283948913,3340600
2023-05-19,370.5495910644531,372.4477711950544,369.46078320306935,371.9467102153099,3649000
2023-05-22,370.75189208984375,372.14904051495864,369.48965373280197,370.6362716914864,2784000
2023-05-23,366.6086730957031,370.1063077860517,366.2232325589843,369.21986512356125,2887300
2023-05-24,363.86260986328125,365.42354422676897,362.8412570228513,365.0959432595544,3611600
2023-05-25,367.03265380859375,368.3430576076304,365.10556864178494,367.10007944164266,3315900
2023-05-26,371.8021545410156,372.47664607980494,367.6300282884597,367.72638842328456,3042800
2023-05-30,371.9178161621094,374.10507678561726,370.73267752786194,373.6233054630808,3968500
2023-05-31,369.8943786621094,371.1180671645313,368.47796987986356,370.2990500827589,4205300
2023-06-01,373.4402160644531,374.4037586735489,369.0079141816151,370.19308217659824,3563600
2023-06-02,378.92279052734375,379.59725273682113,375.33841070658843,375.8587025640455,7368900
2023-06-05,378.1905212402344,380.37775264989085,377.50641413584685,379.1926139120772,3481200
2023-06-06,378.970947265625,379.43345831115107,377.1402221601887,377.7568741492362,2894700
2023-06-07,377.72796630859375,380.36809307580944,377.2654846714075,379.31783515138284,3942900
2023-06-08,379.9922790527344,380.3391696689164,377.02458087199614,377.67013792782893,3455400
2023-06-09,380.62823486328125,382.45895993556593,379.7128576246455,380.64749512962584,3060100
2023-06-12,384.1258850097656,384.15479011070573,380.88836667954854,381.5435979758331,3792700
2023-06-13,386.6600036621094,387.1995851454405,384.8388941021277,385.43628578688816,3913100
2023-06-14,386.95867919921875,388.73159389498704,383.9331415932447,386.9682946289621,5161300
2023-06-15,391.9208984375,393.0578714913214,386.2745536954841,386.3805292524585,5285000
2023-06-16,390.4756774902344,393.8577217622387,390.128816234126,393.79026671633227,5141900
2023-06-20,388.6738586425781,389.5795911320726,386.6311528254168,388.77983422507725,4242900
2023-06-21,386.54437255859375,388.3654526631772,386.0626012900288,387.6427957603298,3423500
2023-06-22,387.951171875,388.03788718266634,385.3688846967546,385.68684082486465,3141000
2023-06-23,385.04119873046875,386.6503276203415,384.3859968971602,384.771408010578,4215300
2023-06-26,383.4513854980469,386.24565301593714,383.229789530429,384.4920279202862,3250700
2023-06-27,387.7005920410156,388.24017349003765,383.86571170010785,384.2607382497625,4302400
2023-06-28,387.8740539550781,388.77978633299944,386.1011391358453,386.7178205016581,4320700
2023-06-29,389.35986328125,389.5146395662912,387.11565142899,387.5122601243034,3914800
2023-06-30,393.97406005859375,394.8833523867606,392.0490832994514,392.1554754022601,5173700
2023-07-03,394.72857666015625,394.72857666015625,393.3936568776837,393.62583609239283,2372000
2023-07-05,393.8482971191406,394.5157570003386,392.74555656796196,392.74555656796196,4230100
2023-07-06,390.6367492675781,391.1397796169769,388.4409214225471,390.58839458962535,6040300
2023-07-07,389.7275085449219,393.39366714983436,389.5533667492026,389.86291936319014,3673200
2023-07-10,390.772216796875,390.9076276169037,388.92461335385383,389.4759984195823,3362300
2023-07-11,393.2776184082031,393.70324590055156,390.5787598818493,391.54608972435676,3177800
2023-07-12,396.373046875,397.6982839060956,395.43473583888283,396.7889915815877,4246400
2023-07-13,399.6039123535156,400.29070818744185,397.69827162850214,398.0948803552934,3273400
2023-07-14,399.2846984863281,401.161320601542,398.6172385834654,400.416487306136,3680900
