Date,Close,High,Low,Open,Volume
2023-03-16,60.856571197509766,60.9110688595369,59.069593516150576,59.45586602935546,31716000
2023-03-17,60.32783508300781,61.15009247863997,59.955907350789644,60.85656667761761,79303000
2023-03-20,61.545928955078125,61.64440552262863,60.3880742993418,60.49706962321881,25857000
2023-03-21,61.31865692138672,62.26624068786906,61.0856117591187,61.929194176447204,25000000
2023-03-22,60.757232666015625,62.45017600905987,60.73316001374347,61.33310281945482,25799000
2023-03-23,61.5574836730957,62.419363994370876,60.81597763679977,61.52570395082534,27162000
2023-03-24,61.2628059387207,61.56422287535266,60.52900331888692,61.441923663224216,17228000
2023-03-27,60.36433029174805,61.54496292807337,60.28247666140413,61.53533460184003,14707000
2023-03-28,60.15824890136719,60.335438012248325,59.5958606407416,60.20928527233936,12439000
2023-03-29,60.23529052734375,61.054800321802766,60.15247443120872,60.9363509692576,26395000
2023-03-30,61.029762268066406,61.25125051081903,60.601230108942396,60.93153570572978,21523000
2023-03-31,61.779930114746094,61.84541448534634,60.27477042382226,60.7206379495074,22097000
2023-04-03,61.8694953918457,62.00720139981762,61.28880922105809,61.5353362575247,15682000
2023-04-04,61.093318939208984,62.039943915701635,60.86123624176138,61.93497642758305,13429000
2023-04-05,60.573299407958984,60.83234214529437,60.25454709190885,60.77841470493922,16908000
2023-04-06,59.95988082885742,60.51456578645876,59.60646134002699,60.10625638315116,14493000
2023-04-10,60.41728973388672,60.463513777340765,59.36377608038857,59.517855000724964,15400000
2023-04-11,59.856834411621094,60.75338181389392,59.784609108919724,60.743749814316935,16518000
2023-04-12,59.387855529785156,60.429816046861184,59.34548501573934,60.412484324538646,14112000
2023-04-13,60.11395263671875,60.33159101155422,59.42733653405824,59.616086257029316,17265000
2023-04-14,59.661338806152344,60.478923581082555,59.244363627963985,59.75186196170893,17465000
2023-04-17,60.414405822753906,60.50877884546895,59.49474457360383,59.57178587498102,13201000
2023-04-18,60.89205551147461,61.1982884701743,60.39226416173481,60.824646202771135,16806000
2023-04-19,61.10198211669922,61.322507874469586,60.240101875451764,60.35951368405205,19060000
2023-04-20,60.9594612121582,61.89453296418771,60.39322305256305,60.46255728783098,20239000
2023-04-21,60.947906494140625,61.03457612291353,59.89728015753993,60.72641825917244,14807000
2023-04-24,61.1058349609375,61.52088524216587,60.84101374976183,61.01916533262711,12338000
2023-04-25,59.90017318725586,61.2454756535115,59.87320946348071,61.05287605217535,23670000
2023-04-26,59.3387451171875,60.00706339474879,59.080664820192034,59.70275904820321,17179000
2023-04-27,59.55253219604492,59.714314538755126,58.09070897251986,59.338747336454475,18250000
2023-04-28,60.33159637451172,60.35856009825707,59.18178090689669,59.616091556384625,16183000
2023-05-01,61.4342155456543,61.534367034401086,60.3026980526309,60.33159037772328,17030000
2023-05-02,58.967987060546875,60.33158717961688,58.26307314216321,60.26032434620855,28357000
2023-05-03,59.050811767578125,59.893431802701706,58.97377413174623,59.40711863955576,19816000
2023-05-04,58.758052825927734,59.123991649491906,57.903879647250186,58.7426460355244,17684000
2023-05-05,60.680198669433594,60.810201285376344,59.06718392934721,59.31563590380413,24876000
2023-05-08,60.5781135559082,60.73893709012557,59.76149485722956,60.6474514624011,13934000
2023-05-09,59.56216049194336,60.097585072962346,59.30696392367117,59.96854125413286,16990000
2023-05-10,60.30944061279297,60.47603894345741,59.539045937586366,59.90402232061,19174000
2023-05-11,60.444252014160156,60.52225577441899,59.51207511934623,60.33928820885379,14430000
2023-05-12,60.77938461303711,60.92864754848674,60.11106635844764,60.512634790366825,11942000
2023-05-15,61.61237335205078,61.63355860897442,60.52130139546468,60.84871959632244,14614000
2023-05-16,61.77029800415039,62.29706036367772,61.50933033450716,61.67592498285064,14967000
2023-05-17,63.313995361328125,63.644297331966925,62.07269415031833,62.33944401458825,24133000
2023-05-18,65.28137969970703,65.42197309551837,63.17241998603368,63.17241998603368,26389000
2023-05-19,65.70028686523438,65.96029944936438,65.33050180245257,65.48361460983516,22968000
2023-05-22,65.3266372680664,65.93429079686027,64.91736913088984,65.61842586995074,17796000
2023-05-23,66.10955047607422,67.31233070949564,65.67813097374689,66.5082314684838,36088000
2023-05-24,65.43834686279297,65.89865502816889,65.10418776208385,65.62227322766593,23021000
2023-05-25,70.18302154541016,70.52873761392472,66.52076023825505,67.35278578059913,49263000
